Car_model, Car_version,Price(Rs),DIMENSIONS_Length(mm),DIMENSIONS_Width(mm),DIMENSIONS_Height(mm),DIMENSIONS_Wheelbase(mm), DIMENSIONS_Ground Clearance(mm),DIMENSIONS_Kerb Weight(kg),DIMENSIONS_Boot Capacity(litres),ENGINE/MOTOR_Fuel Type Propulsion,ENGINE/MOTOR_Engine Installation,ENGINE/MOTOR_Engine Displacement(cc),ENGINE/MOTOR_Engine Type,ENGINE/MOTOR_Max Engine Power,ENGINE/MOTOR_Max Engine Torque,TRANSMISSION_Drive Layout,TRANSMISSION_Gearbox Type,TRANSMISSION_Number Of Gears,TRANSMISSION_Selectable Differential Lock,FUEL ECONOMY/RANGE_Fuel Tank Capacity,FUEL ECONOMY/RANGE_Official Fuel Economy(KPL),SUSPENSION_Front Suspension Type,SUSPENSION_Front Springs,SUSPENSION_Rear Suspension Type,SUSPENSION_Rear Springs,SUSPENSION_Damper Control,SUSPENSION_Ride Height Adjust,STEERING_Type Of Power Assist,STEERING_Steering Adjust,STEERING_Steering Adjust Type,STEERING_Turning Radius(m),WHEELS AND TYRES_Wheels,WHEELS AND TYRES_Wheel Size,WHEELS AND TYRES_Front Tyre Size,WHEELS AND TYRES_Rear Tyre Size,WHEELS AND TYRES_Spare Wheel,BRAKES_Front Brakes,BRAKES_Rear Brakes,SAFETY_Airbags,SAFETY_Anti Lock Brakes Abs,SAFETY_Electronic Parking Brake,SAFETY_Hill Start Assist,SAFETY_Hill Descent Control,SAFETY_Anti Pinch Power Windows,SAFETY_Central Locking,SAFETY_Speed Sensing Auto Door Locks,SAFETY_Child Safety Lock,SAFETY_Isofix Child Seat Mounts,SAFETY_Automatic Headlamps,SAFETY_Automatic Wipers,SAFETY_Rear Washer Wiper,SAFETY_Rear Defogger,SAFETY_Day Night Interior Mirror,SAFETY_Parking Sensors,SAFETY_Parking Camera,SAFETY_Tyre Pressure Monitoring System,SAFETY_Blind Spot Monitor,SAFETY_Adaptive Cruise Control,EXTERIOR_Body Coloured Bumpers,EXTERIOR_Projector Headlamps,EXTERIOR_Headlight Type,EXTERIOR_Daytime Running Lights,EXTERIOR_Front Fog Lamps,SEATS AND UPHOLSTERY_Seats,SEATS AND UPHOLSTERY_Leather Wrapped Steering Wheel,SEATS AND UPHOLSTERY_Leather Wrapped Gear Knob,SEATS AND UPHOLSTERY_Drivers Seat Height Adjust,SEATS AND UPHOLSTERY_Electric Adjust For Drivers Seat,SEATS AND UPHOLSTERY_Drivers Seat Memory,SEATS AND UPHOLSTERY_Front Passenger Seat Height Adjust,SEATS AND UPHOLSTERY_Electric Adjust For Front Passenger Seat,SEATS AND UPHOLSTERY_Front Passenger Seat Memory,SEATS AND UPHOLSTERY_Adjustable Front Headrests,SEATS AND UPHOLSTERY_Ventilated Seats,SEATS AND UPHOLSTERY_Heated Seats,SEATS AND UPHOLSTERY_Massage Seats,SEATS AND UPHOLSTERY_Front Seat Armrest,SEATS AND UPHOLSTERY_Rear Seat Armrest,SEATS AND UPHOLSTERY_Adjustable Rear Headrests,SEATS AND UPHOLSTERY_Individual Chairs At Rear,SEATS AND UPHOLSTERY_Rear Seat Backrest Recline,SEATS AND UPHOLSTERY_Rear Seat Backrest Fold,SEATS AND UPHOLSTERY_Rear Seat Backrest Split,SEATS AND UPHOLSTERY_Third Row Seats,INFOTAINMENT_Audio System,INFOTAINMENT_Cd Player,INFOTAINMENT_Usb Input,INFOTAINMENT_Aux Input,INFOTAINMENT_Bluetooth Audio Streaming,INFOTAINMENT_Bluetooth Telephone Function,INFOTAINMENT_Steering Audio Controls,INFOTAINMENT_Steering Phone Controls,INFOTAINMENT_Wireless Phone Charging,INFOTAINMENT_Display,INFOTAINMENT_Android Auto,INFOTAINMENT_Apple Carplay,INFOTAINMENT_Satellite Navigation,INFOTAINMENT_Voice Coands,INFOTAINMENT_Gesture Controls,INFOTAINMENT_Touchpad,INFOTAINMENT_Rear Entertainment Screens,COMFORT AND CONVENIENCE_Power Windows,COMFORT AND CONVENIENCE_Power Windows With One Touch Down,COMFORT AND CONVENIENCE_Power Windows With One Touch Up,COMFORT AND CONVENIENCE_Exterior Mirrors Electric Adjust,COMFORT AND CONVENIENCE_Exterior Mirrors Electric Fold,COMFORT AND CONVENIENCE_Remote Locking,COMFORT AND CONVENIENCE_Keyless Entry,COMFORT AND CONVENIENCE_Push Button Start,COMFORT AND CONVENIENCE_Climate Control,COMFORT AND CONVENIENCE_Rear Ac Vents,COMFORT AND CONVENIENCE_Third Row Ac Vents,COMFORT AND CONVENIENCE_Front Passenger Seat Adjust From Rear,COMFORT AND CONVENIENCE_Rear Window Sun Shades,COMFORT AND CONVENIENCE_Rear Windscreen Sun Shade,COMFORT AND CONVENIENCE_Rear Power Outlet,COMFORT AND CONVENIENCE_Sunroof,COMFORT AND CONVENIENCE_Configurable Ambient Lighting,COMFORT AND CONVENIENCE_Driving Modes,COMFORT AND CONVENIENCE_Cruise Control,COMFORT AND CONVENIENCE_Auto Parking,COMFORT AND CONVENIENCE_Launch Control,COMFORT AND CONVENIENCE_Dead Pedal,COMFORT AND CONVENIENCE_Hands Free Boot Opening,INSTRUMENTATION_Speedometer,INSTRUMENTATION_Tachometer,INSTRUMENTATION_Trip Meter,INSTRUMENTATION_Average Fuel Consumption,INSTRUMENTATION_Distance To Empty,INSTRUMENTATION_Low Fuel Level Warning,INSTRUMENTATION_Gear Indicator,INSTRUMENTATION_Shift Indicator,INSTRUMENTATION_Head Up Display,FUEL ECONOMY/RANGE_Auto Start Stop,ENGINE/MOTOR_Motor Type,ENGINE/MOTOR_Max Motor Power,ENGINE/MOTOR_Max Motor Torque,FUEL ECONOMY/RANGE_Battery Capacity,FUEL ECONOMY/RANGE_Claimed Range,FUEL ECONOMY/RANGE_Charging Time,SAFETY_Electronic Brakeforce Distribution Ebd,SAFETY_Brake Assist Ba,SAFETY_Traction Control,SAFETY_Electronic Stability Control,INFOTAINMENT_Mirrorlink,INFOTAINMENT_Web Browser,INFOTAINMENT_Video Player,INSTRUMENTATION_Average Speed,INSTRUMENTATION_Instantaneous Consumption,TRANSMISSION_Sport Mode Automatic Gearbox,TRANSMISSION_Manual Shifts Via Gear Lever Automatic Gearbox,TRANSMISSION_Paddle Shifters Automatic Gearbox,PERFORMANCE AS TESTED_Performance 0 to 100 kph,PERFORMANCE AS TESTED_Performance 20 to 80 kph Third Gear Kickdown,PERFORMANCE AS TESTED_Performance 40 to 100 kph Fourth Gear Kickdown,FUEL ECONOMY/RANGE_City Fuel Economy Tested,FUEL ECONOMY/RANGE_Highway Fuel Economy Tested,ENGINE/MOTOR_Combined Max Power,SEATS AND UPHOLSTERY_Third Row Seats Fold,SEATS AND UPHOLSTERY_Third Row Seats Split,FUEL ECONOMY/RANGE_Cng Lpg Tank Capacity,ENGINE/MOTOR_Combined Max Torque,ENGINE/MOTOR_Max Engine Power Cng,ENGINE/MOTOR_Max Engine Torque Cng
Audi A4, 40 TFSI Premium Plus  ,5567000,4762,1847,1433,2819,,1550,460,Petrol,Front,1984,"4 cyls, Turbocharged",190hp at 4200-6000rpm,320Nm at 1450-4200rpm,Front-Wheel Drive,Dual-Clutch Auto,7,NO,54,,"Independent, multi-link",Coil Springs,"Independent, multi-link",Coil Springs,NO,NO,Electro-Mechanical,Tilt and Telescopic,Manual,,Alloys,17-inches,225/50 R17,225/50 R17,Space-saver,Disc,Discs,8,1,1,1,0,,1,1,1,1,1,1,0,1,Auto,Front and Rear,Rear,1,0,0,1,1,LED,LED,1,Leather and Leatherette,1,1,1,1,0,1,1,0,1,No,No,No,1,1,1,No,No,1,1,0,1,0,1,1,1,1,1,1,0,10.1-inch Touchscreen,1,1,Phone-based,1,0,0,0,Front and Rear,All,All,1,1,1,1,1,Auto 3-zone,1,0,0,,0,0,Yes,1,1,1,0,0,1,0,Analog,Analog,1,1,1,1,1,1,0,YES,,,,,,,1,1,1,1,0,0,0,1,1,YES,YES,YES,7.19 s,4.29 s,5.52 s,,,,,,,,,
Audi A4, 40 TFSI Technology  ,6004000,4762,1847,1433,2819,,1555,460,Petrol,Front,1984,"4 cyls, Turbocharged",190hp at 4200-6000rpm,320Nm at 1450-4200rpm,Front-Wheel Drive,Dual-Clutch Auto,7,NO,54,,"Independent, multi-link",Coil Springs,"Independent, multi-link",Coil Springs,NO,NO,Electro-Mechanical,Tilt and Telescopic,Manual,,Alloys,17-inches,225/50 R17,225/50 R17,Space-saver,Disc,Discs,8,1,1,1,0,,1,1,1,1,1,1,0,1,Auto,Front and Rear,Rear,1,0,0,1,1,LED,LED,1,Leather and Leatherette,1,1,1,1,1,1,1,0,1,No,No,No,1,1,1,No,No,1,1,0,1,0,1,1,1,1,1,1,1,10.1-inch Touchscreen,1,1,Onboard,1,0,0,0,Front and Rear,All,All,1,1,1,1,1,Auto 3-zone,1,0,0,,0,0,Yes,1,1,1,1,0,1,1,Digital,Digital,1,1,1,1,1,1,0,YES,,,,,,,1,1,1,1,0,0,0,1,1,YES,YES,YES,7.19 s,4.29 s,5.52 s,,,,,,,,,
Audi A5 Sportback, RS5 Quattro 2.9 Petrol  ,13000000,4783,1866,1387,2826,,1810,465,Petrol,Front,2894,"V6, Turbocharged",450hp at 5700-6700rpm,600Nm at 2000-5000rpm,All-Wheel Drive,Torque Converter Auto,8,NO,58,10.53,"Independent, Multi-link",Coil Springs,"Independent, Multi-link",Coil Springs,YES,NO,Electro-Mechanical,Tilt and Telescopic,Manual,5.85,Alloys,19-inches,265/35 R19,265/35 R19,Space-saver,Disc,Discs,8,1,1,1,0,,1,1,1,1,1,1,0,1,Auto,Front and Rear,Rear,1,0,0,1,1,LED,LED,0,Leather and Alcantara,1,1,1,1,1,1,1,0,0,No,No,Yes,1,1,1,No,No,1,1,0,1,0,1,0,1,1,1,1,0,10.1-inch Touchscreen,1,1,Onboard,1,0,0,0,Front and Rear,All,All,1,1,1,1,1,Auto 3-zone,1,0,0,0,0,1,Yes,1,1,1,0,1,1,0,Digital,Digital,1,1,1,1,1,1,0,YES,,,,,,,1,1,1,1,0,0,0,1,1,YES,YES,YES,,,,,,,,,,,,
Audi A5 Sportback, S5 Quattro 3.0 Petrol  ,8763000,4765,1845,1390,2825,,1760,465,Petrol,Front,2994,"V6, Turbocharged",354hp at 5400-6400rpm,500Nm at 1370-4500rpm,All-Wheel Drive,Torque Converter Auto,8,NO,58,,"Independent, Multi-link",Coil Springs,"Independent, Multi-link",Coil Springs,NO,NO,Electric,Tilt and Telescopic,Manual,,Alloys,19-inches,255/35 R19,255/35 R19,Space-saver,Disc,Discs,8,1,1,1,0,,1,1,1,1,1,1,0,1,Auto,Front and Rear,Rear,1,0,0,1,1,LED,LED,1,Leather and Alcantara,1,1,1,1,1,1,1,0,1,No,No,No,1,1,1,No,No,1,1,0,1,0,1,1,1,1,1,1,0,10.1-inch Touchscreen,1,1,Onboard,1,0,0,0,Front and Rear,All,All,1,1,1,1,1,Auto 3-zone,1,0,0,,0,1,Panoramic,1,1,1,0,0,1,0,Digital,Digital,1,1,1,1,1,1,0,YES,,,,,,,1,1,1,1,0,0,0,1,1,YES,YES,YES,,,,,,,,,,,,
Audi A6, 45 TFSI Premium Plus  ,6302000,4939,1886,1457,2924,,1780,530,Petrol-Electric Hybrid,Front,1984,"4 cyls, Turbocharged",245hp at 5000-6000rpm,370Nm at 1600-4500rpm,Front-Wheel Drive,Dual-Clutch Auto,7,NO,73,14.11,"Independent, 5-link",Coil Springs,"Independent, 5-link",Coil Springs,NO,NO,Electro-Mechanical,Tilt and Telescopic,Manual,5.55,Alloys,18-inches,225/55 R18,225/55 R18,Space-saver,Disc,Discs,8,1,1,1,0,,1,1,1,1,1,1,0,1,Auto,Front and Rear,Rear,1,0,0,1,0,LED,LED,1,Leather and Leatherette,1,1,1,1,1,1,1,0,1,No,No,No,1,1,1,No,No,1,1,0,1,0,1,0,1,1,1,1,0,10.1-inch and 8.6-inch Touchscreens,1,1,Onboard,1,0,0,0,Front and Rear,All,All,1,1,1,0,1,Auto 2-zone,1,,0,,,1,Panoramic,0,1,1,0,0,1,0,Analog,Analog,1,1,1,1,1,1,0,YES,Belt Alternator Starter,,,,,,1,1,1,1,0,0,1,1,1,YES,YES,YES,,,,,,245hp at 5000-6000rpm,,,,370Nm at 1600-4500rpm,,
Audi A6, 45 TFSI Technology  ,6879000,4939,1886,1457,2924,,1780,530,Petrol-Electric Hybrid,Front,1984,"4 cyls, Turbocharged",245hp at 5000-6000rpm,370Nm at 1600-4500rpm,Front-Wheel Drive,Dual-Clutch Auto,7,NO,73,14.11,"Independent, 5-link",Coil Springs,"Independent, 5-link",Coil Springs,NO,NO,Electro-Mechanical,Tilt and Telescopic,Powered,5.55,Alloys,18-inches,225/55 R18,225/55 R18,Space-saver,Disc,Discs,8,1,1,1,0,,1,1,1,1,1,1,0,1,Auto,Front and Rear,Rear,1,0,0,1,0,LED,LED,1,Leather and Leatherette,1,1,1,1,1,1,1,0,1,No,No,No,1,1,1,No,No,1,1,0,1,0,1,0,1,1,1,1,1,10.1-inch and 8.6-inch Touchscreens,1,1,Onboard,1,0,0,0,Front and Rear,All,All,1,1,1,1,1,Auto 4-zone,1,,1,,,1,Panoramic,1,1,1,1,0,1,1,Digital,Digital,1,1,1,1,1,1,0,YES,Belt Alternator Starter,,,,,,1,1,1,1,0,0,1,1,1,YES,YES,YES,,,,,,245hp at 5000-6000rpm,,,,370Nm at 1600-4500rpm,,
Audi A8, L 55 TFSI Quattro Petrol Celebration Edition  ,14900000,5320,2130,1488,3128,,2480,505,Petrol Mild Hybrid,Front,2995,"V6, Turbocharged",335.25hp at 5000-6400rpm,500Nm at 1370-4500rpm,All-Wheel Drive,Torque Converter Auto,8,NO,82,,"Independent, Double Wishbone",Air Springs,"Independent, Multi-Link",Air Springs,YES,YES,Electric,Tilt and Telescopic,Powered,,Alloys,19-inches,255/45 R19,255/45 R19,Space-saver,Disc,Discs,8,1,1,1,1,,1,1,1,1,1,1,0,1,Auto,Front and Rear,360-degree,1,0,0,1,0,LED,LED,1,Leather,1,1,1,1,1,1,1,0,1,Front and Rear,Front and Rear,Front and Rear,1,1,1,No,Powered,1,1,0,1,1,1,0,1,1,1,1,1,10.1 inch Touchscreen,1,1,Onboard,1,0,0,1,Front and Rear,All,All,1,1,1,1,1,Auto 4-zone,1,0,0,,1,1,Yes,1,1,1,1,0,1,1,Digital,Digital,1,1,1,1,1,1,1,YES,,,,,,,1,1,1,1,1,1,0,1,1,YES,YES,YES,5.7 s,,,,,,,,,,,
Audi A8, L 55 TFSI Quattro Petrol Technology  ,18100000,5320,2130,1488,3128,,2480,505,Petrol Mild Hybrid,Front,2995,"V6, Turbocharged",335.25hp at 5000-6400rpm,500Nm at 1370-4500rpm,All-Wheel Drive,Torque Converter Auto,8,NO,82,,"Independent, Double Wishbone",Air Springs,"Independent, Multi-Link",Air Springs,YES,YES,Electric,Tilt and Telescopic,Powered,,Alloys,19-inches,255/45 R19,255/45 R19,Space-saver,Disc,Discs,8,1,1,1,1,,1,1,1,1,1,1,0,1,Auto,Front and Rear,360-degree,1,0,0,1,0,LED,LED,1,Leather,1,1,1,1,1,1,1,0,1,Front and Rear,Front and Rear,Front and Rear,1,1,1,Yes,Powered,1,1,0,1,1,1,0,1,1,1,1,1,10.1 inch Touchscreen,1,1,Onboard,1,0,0,1,Front and Rear,All,All,1,1,1,1,1,Auto 4-zone,1,0,1,,1,1,Yes,1,1,1,1,0,1,1,Digital,Digital,1,1,1,1,1,1,1,,,,,,,,1,1,1,1,1,1,0,1,1,YES,YES,YES,5.7 s,,,,,,,,,,,
Audi Q3, 40 TFSI petrol Premium Plus  ,5200000,4482,1849,1607,2680,,1700,530,Petrol,Front,1984,"4 cyls, Turbocharged",188 hp,320Nm at 1500-4100rpm,All-Wheel Drive,7-speed Dual-Clutch Auto,7,YES,62.4,,"Independent, MacPherson Strut",Coil Springs,"Independent, Multi-link",Coil Springs,NO,NO,Electro-Mechanical,Tilt and Telescopic,Powered,,Alloys,18-inches,235/55 R18,235/55 R18,Space-saver,Disc,Discs,6,1,1,1,0,1,1,1,1,1,1,1,1,1,Auto,Front and Rear,Rear,1,0,0,1,1,LED,LED,0,Part-leather,1,0,1,1,0,1,1,0,1,No,No,No,1,1,1,No,Manual,1,1,0,1,0,1,0,1,1,1,1,0,10.25-inch Screen,1,1,Phone-based,1,0,0,0,Front and Rear,All,All,1,1,1,1,1,Auto 2-zone,1,0,0,0,0,1,Panoramic,1,1,1,0,0,1,1,Digital,Digital,1,1,1,1,1,1,0,YES,,,,,,,1,1,1,1,0,0,1,1,1,YES,YES,YES,7.3 s,,,,,,,,,,,
Audi Q3, 40 TFSI petrol Technology  ,5835000,4482,1849,1607,2680,,1700,530,Petrol,Front,1984,"4 cyls, Turbocharged",188 hp,320Nm at 1500-4100rpm,All-Wheel Drive,7-speed Dual-Clutch Auto,7,YES,62.4,,"Independent, MacPherson Strut",Coil Springs,"Independent, Multi-link",Coil Springs,NO,NO,Electro-Mechanical,Tilt and Telescopic,Powered,,Alloys,18-inches,235/55 R18,235/55 R18,Space-saver,Disc,Discs,6,1,1,1,0,1,1,1,1,1,1,1,1,1,Auto,Front and Rear,Rear,1,0,0,1,1,LED,LED,0,Part-leather,1,0,1,1,0,1,1,0,1,No,No,No,1,1,1,No,Manual,1,1,0,1,0,1,0,1,1,1,1,1,10.1-inch Screen,1,1,Onboard,1,0,0,0,Front and Rear,All,All,1,1,1,1,1,Auto 2-zone,1,0,0,0,0,1,Panoramic,1,1,1,0,0,1,1,Digital,Digital,1,1,1,1,1,1,0,YES,,,,,,,1,1,1,1,0,0,1,1,1,YES,YES,YES,7.3 s,,,,,,,,,,,
