Retailer,Region,State_name,City,Product,Sales Method,Retailer_code,Region_code,State_code,City_code,Product_code,Sales Method_code,Price per Unit,Units Sold,Total_Sales,Operating Profit,Operating Margin,State
Foot Locker,Northeast,New York,New York,Men's Street Footwear,In-store,1,1,31,35,2,0,50,1200,600000,300000,0.5,NY
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,In-store,1,1,31,35,1,0,50,1000,500000,150000,0.3,PA
Foot Locker,Northeast,New York,New York,Women's Street Footwear,In-store,1,1,31,35,5,0,40,1000,400000,140000,0.35,NY
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,In-store,1,1,31,35,4,0,45,850,382500,133875,0.35,PA
Foot Locker,Northeast,New York,New York,Men's Apparel,In-store,1,1,31,35,0,0,60,900,540000,162000,0.3,NY
Foot Locker,Northeast,New York,New York,Women's Apparel,In-store,1,1,31,35,3,0,50,1000,500000,125000,0.25,PA
Foot Locker,Northeast,New York,New York,Men's Street Footwear,In-store,1,1,31,35,2,0,50,1250,625000,312500,0.5,NY
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,Outlet,1,1,31,35,1,2,50,900,450000,135000,0.3,PA
Foot Locker,Northeast,New York,New York,Women's Street Footwear,Outlet,1,1,31,35,5,2,40,950,380000,133000,0.35,NY
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,Outlet,1,1,31,35,4,2,45,825,371250,129937.5,0.35,PA
Foot Locker,Northeast,New York,New York,Men's Apparel,Outlet,1,1,31,35,0,2,60,900,540000,162000,0.3,NY
Foot Locker,Northeast,New York,New York,Women's Apparel,Outlet,1,1,31,35,3,2,50,1000,500000,125000,0.25,PA
Foot Locker,Northeast,New York,New York,Men's Street Footwear,Outlet,1,1,31,35,2,2,50,1220,610000,305000,0.5,NY
Foot Locker,Northeast,New York,New York,Men's Athletic Footwear,Outlet,1,1,31,35,1,2,50,925,462500,138750,0.3,PA
Foot Locker,Northeast,New York,New York,Women's Street Footwear,Outlet,1,1,31,35,5,2,40,950,380000,133000,0.35,NY
Foot Locker,Northeast,New York,New York,Women's Athletic Footwear,Outlet,1,1,31,35,4,2,45,800,360000,126000,0.35,PA
